date,author,likes,score,content
2019/2/10 10:10,青瓷艳酒,0,6,故事文案依旧超级好，但导演某些方面也太没谱了！请流量明星也就不说啥了，然而请私德有亏的明星，还提倡了抄袭剧，一点儿也不关注这些知识文化产权，只注重明星效应了！！！第二季国宝在不断刷新观众的下线啊！
2019/2/10 9:54,相知心,0,10,守护历史，守护华夏文明
2019/2/10 9:33,流沙轻掩,0,10,感激涕零无以言表
2019/2/10 9:13,56xf右下方,0,10,很棒。
2019/2/10 8:58,Signorino,0,10,神级节目！从第一季到第二季，了解每一件国宝的过程，都是一次对国家历史、对中华文化的新的认知，期待第三季！再见！满分！
2019/2/10 8:52,狗子12581,0,10,让国宝活起来！这个节目真的很棒。
2019/2/10 8:29,一只野生的阑珊,0,10,现在唯一在追的综艺节目了。让人感触颇深。
2019/2/10 8:16,君姒久玖,0,10,好的综艺，足够打满分！永远爱国家宝藏！
2019/2/10 8:05,簌若往事,0,10,何以中国 何以华夏
2019/2/10 7:42,带上耳机去旅游,0,10,文化繁荣，值得一看
2019/2/10 7:31,sepho,0,10,极具教育意义！
2019/2/10 7:17,开水放凉,0,10,今生不悔入华夏，来世还在种花家
2019/2/10 6:38,云亦陌,0,10,表白国家宝藏！！！随便期待第三季！！！
2019/2/10 5:56,叽叽喳喳95,0,10,太好看了！
2019/2/10 5:28,嘤嘤怪若轩,0,10,无敌了
2019/2/10 4:56,偶尔孩子气233,0,10,是我们喜欢的中国的样子！就是看节目太废纸了，热泪来不及擦啊！
2019/2/10 4:14,清清辞酱,0,10,嘤嘤嘤呜呜呜又要等一年了
2019/2/10 3:58,金星百合,0,10,这是近年中最好的考古节目，让群众有了更广泛的参与度，更加直接地了解文物背后的故事，为策划、制作参与节目的所有人点赞！
2019/2/10 2:46,欠欠o_O,0,10,很有意义也很有趣。期待第三季。
2019/2/10 2:34,假面魔男,0,10,最喜欢的综艺 最爱的中华   没有之一
2019/2/10 2:08,不啦不啦撸,0,8,国宝，五星好评，杠杠滴！！除了不喜欢小白脸！
2019/2/10 2:01,fanflyme,0,10,中华民族的文化自信从中国古典音乐的磅礴大气到国家宝藏这样的和隋之珍，这个节目将其淋漓尽致地展现在我们眼前。
2019/2/10 1:59,李君迁迁迁迁,0,10,一百婚！一百婚！
2019/2/9 17:25,山雨欲来,1,10,期待第三季
2019/2/2 2:55,涮小肥羊的小肥牛,0,10,啊啊啊啊啊！真的很棒!舍不得www
2018/12/11 15:00,海底世界的北极熊,0,10,十年寒冰，难凉热血。
2019/2/9 23:30,我是飛揚啊,0,10,疯狂打call
2019/2/9 19:37,不信你来广东东莞找我,0,10,作为一个中国人，更是一个云南人，这个节目真的很有意义。
2019/2/9 19:02,病気波,0,10,这是我最想要的节目
